* time: 19:57:00, sender: Panda, type: message, command: IN, message: Initialized
* time: 19:57:01, sender: Panda, type: message, command: IN, message: Initialized
* time: 19:57:02, sender: Panda, type: message, command: IN, message: Initialized
* time: 19:57:05, sender: , type: ack, command: , message: 1
* time: 19:57:05, sender: Panda, type: message, command: AR, message: 2331
* time: 19:57:06, sender: , type: ack, command: , message: 2
* time: 19:57:06, sender: Panda, type: message, command: AR, message: 2331
* time: 19:57:07, sender: , type: ack, command: , message: 3
* time: 19:57:07, sender: Panda, type: message, command: AR, message: 2327
* time: 19:57:08, sender: , type: ack, command: , message: 4
* time: 19:57:08, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:09, sender: , type: ack, command: , message: 5
* time: 19:57:09, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:10, sender: , type: ack, command: , message: 6
* time: 19:57:10, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:11, sender: , type: ack, command: , message: 7
* time: 19:57:11, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:12, sender: , type: ack, command: , message: 8
* time: 19:57:12, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:13, sender: , type: ack, command: , message: 0
* time: 19:57:13, sender: Panda, type: message, command: AR, message: 2318
* time: 19:57:14, sender: , type: ack, command: , message: 1
* time: 19:57:14, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:15, sender: , type: ack, command: , message: 2
* time: 19:57:15, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:16, sender: , type: ack, command: , message: 3
* time: 19:57:16, sender: Panda, type: message, command: AR, message: 2311
* time: 19:57:17, sender: , type: ack, command: , message: 4
* time: 19:57:17, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:18, sender: , type: ack, command: , message: 5
* time: 19:57:18, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:19, sender: , type: ack, command: , message: 6
* time: 19:57:19, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:20, sender: , type: ack, command: , message: 7
* time: 19:57:20, sender: Panda, type: message, command: AR, message: 2324
* time: 19:57:21, sender: , type: ack, command: , message: 8
* time: 19:57:21, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:22, sender: , type: ack, command: , message: 0
* time: 19:57:22, sender: Panda, type: message, command: AR, message: 2316
* time: 19:57:23, sender: , type: ack, command: , message: 1
* time: 19:57:23, sender: Panda, type: message, command: AR, message: 2311
* time: 19:57:24, sender: , type: ack, command: , message: 2
* time: 19:57:24, sender: Panda, type: message, command: AR, message: 2322
* time: 19:57:25, sender: , type: ack, command: , message: 3
* time: 19:57:25, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:26, sender: , type: ack, command: , message: 4
* time: 19:57:26, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:27, sender: , type: ack, command: , message: 5
* time: 19:57:27, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:28, sender: , type: ack, command: , message: 6
* time: 19:57:28, sender: Panda, type: message, command: AR, message: 2323
* time: 19:57:29, sender: , type: ack, command: , message: 7
* time: 19:57:29, sender: Panda, type: message, command: AR, message: 2316
* time: 19:57:30, sender: , type: ack, command: , message: 8
* time: 19:57:30, sender: Panda, type: message, command: AR, message: 2320
* time: 19:57:31, sender: , type: ack, command: , message: 0
* time: 19:57:31, sender: Panda, type: message, command: AR, message: 2316
* time: 19:57:32, sender: , type: ack, command: , message: 1
* time: 19:57:32, sender: Panda, type: message, command: AR, message: 2323
